ACCESS_FISH_ID,error correction,TRIP_ID,START_DATE,RIVER_CODE,GEAR_CODE,SPECIES_CODE,TOTAL_LENGTH,PITTAG,DATASHEET_SAMPLE_ID,WEIGHT,STATION_ID,START_RM,SAMPLE_NOTES,BH notes,SEX_CODE,SEX_COND_CODE,SEX_CHAR_CODE,DISPOSITION_CODE
267236,x,SHI20150830,09/05/2015,SHI,HB,FMS,450,384.36F2B29019,H53,685,SHI,,,Need to check datasheets - not sure if below falls in Shinumo or mainstem.,U,N,C,RA
262289,,SHI20140610,06/17/2014,COR,HB,FMS,451,384.36F2B29019,H32,,,,,,U,N,C,RA
77954,,SHI20130907,09/09/2013,COR,HB,FMS,381,384.36F2B2901A,54,525,3,109.2,RIVER LEFT,,U,N,N,RA
79667,,SHI20130907,09/09/2013,COR,HB,FMS,378,384.36F2B2901C,57,535,3,109,RIVER LEFT ACROSS FROM  BASS CAMP,,M,N,T,RA
267358,x,SHI20150609,06/14/2015,COR,HB,FMS,375,384.36F2B2901F,H18,400,1,108.7,"MILE108.7 RIVER LEFT
OWNSTREAM END OF COVE TIED TO LARGE BACCHARIS",fixed river mile,M,N,T,RA
267357,x,SHI20150609,06/14/2015,COR,HB,FMS,340,384.36F2B29021,H18,335,1,108.7,"MILE108.7 RIVER LEFT
OWNSTREAM END OF COVE TIED TO LARGE BACCHARIS",fixed river mile,U,N,N,RA
267721,x,SHI20150609,06/15/2015,COR,HB,FMS,342,384.36F2B29021,H13,340,2,109.8,"MILE 109.8 RIVER LEFT
OFF BACCHARIS",fixed river mile,U,N,N,RA
267359,x,SHI20150609,06/14/2015,COR,HB,FMS,311,384.36F2B29022,H18,220,1,108.7,"MILE108.7 RIVER LEFT
OWNSTREAM END OF COVE TIED TO LARGE BACCHARIS",fixed river mile,I,N,N,RA
77599,,SHI20130907,09/07/2013,COR,HB,FMS,375,384.36F2B29023,5,480,COL 1,108.7,,,U,N,T,RA
267303,x,SHI20150609,06/14/2015,COR,HB,FMS,427,384.36F2B29024,H3,600,1,108.4,"MILE108.4 RIVER RIGHT
MIDDLE TAMRAM IN CAMP",fixed river mile,F,N,N,RA
77957,,SHI20130907,09/09/2013,COR,HB,FMS,357,384.36F2B29025,55,395,3,109.2,AT AMY'S PERCH BEHIND ROCK,,U,N,N,RA
267350,x,SHI20150609,06/14/2015,COR,HB,FMS,345,384.36F2B29026,H17,310,1,108.7,"MILE 108.7 RIVER LEFT
UPSTREAM END OF COVE",fixed river mile,U,N,N,RA
267604,x,SHI20150609,06/14/2015,COR,HB,FMS,364,384.36F2B29027,H14,405,1,108.6,"MILE108.6 RIVER LEFTTIED TO SKINNY BACCHARIS IN WALL
*DOWNSTREAM OF H12*",fixed river mile,M,N,T,RA
77955,,SHI20130907,09/09/2013,COR,HB,FMS,384,384.36F2B29028,54,470,3,109.2,RIVER LEFT,,U,N,N,RA
77931,,SHI20130907,09/08/2013,COR,HB,FMS,355,384.36F2B2902A,36,410,COL 2,109.1,,,U,N,N,RA
267353,x,SHI20150609,06/14/2015,COR,HB,FMS,349,384.36F2B2902B,H17,370,1,108.7,"MILE 108.7 RIVER LEFT
UPSTREAM END OF COVE",fixed river mile,M,N,T,RA
267307,x,SHI20150609,06/14/2015,COR,HB,FMS,425,384.36F2B2902D,H3,590,1,108.4,"MILE108.4 RIVER RIGHT
MIDDLE TAMRAM IN CAMP",fixed river mile,M,N,T,RA
267345,x,SHI20150609,06/14/2015,COR,HB,FMS,386,384.36F2B2902F,H16,425,1,108.7,"MILE108.7 RIVER LEFT
BELOW LOWEST RIGHT SIDE RIGHT SIDE SET TIED TO BACCHARIS IN CLIFF",fixed river mile,M,N,T,RA
267393,x,SHI20150609,06/15/2015,COR,HB,FMS,389,384.36F2B2902F,H1,415,2,108.7,"MILE108.7 RIVER RIGHT
SMALL TAMRAMIN COVE DOWNSTREAM OF TRICKLE COVE",fixed river mile,M,N,T,RA
267606,,SHI20150609,06/16/2015,COR,HB,FMS,388,384.36F2B2902F,H19,385,3,,OFF SMALL BACCHARIS IN WALL ACROSS FROM TRICKLE,,U,N,T,RA
267344,x,SHI20150609,06/14/2015,COR,HB,FMS,367,384.36F2B29031,H16,415,1,108.7,"MILE108.7 RIVER LEFT
BELOW LOWEST RIGHT SIDE RIGHT SIDE SET TIED TO BACCHARIS IN CLIFF",fixed river mile,U,N,N,RA
267293,x,SHI20150609,06/14/2015,COR,HB,FMS,437,384.36F2B29032,H3,720,1,108.4,"MILE108.4 RIVER RIGHT
MIDDLE TAMRAM IN CAMP",fixed river mile,F,N,N,RA
77939,,SHI20130907,09/08/2013,COR,HB,FMS,318,384.36F2B29035,40,290,COL 2,109.1,,,U,N,N,RA
267361,x,SHI20150609,06/14/2015,COR,HB,FMS,296,384.36F2B29036,H18,210,1,108.7,"MILE108.7 RIVER LEFT
OWNSTREAM END OF COVE TIED TO LARGE BACCHARIS",fixed river mile,U,N,N,RA
267589,x,SHI20150609,06/14/2015,COR,HB,FMS,324,384.36F2B29037,H12,265,1,108.5,"RIVER MILE 108.5 RIVER LEFT
DIRECTLY ACROSS FROM CLAY'S OLD CAMP TAMRAM",fixed river mile,U,N,N,RA
267144,x,SHI20150830,09/03/2015,SHI,HB,FMS,324,384.36F2B29037,H06,255,SHI,,,Need to check datasheets - not sure if below falls in Shinumo or mainstem.,U,N,N,RA
267351,x,SHI20150609,06/14/2015,COR,HB,FMS,375,384.36F2B29038,H17,420,1,108.7,"MILE 108.7 RIVER LEFT
UPSTREAM END OF COVE",fixed river mile,U,N,N,RA
267729,x,SHI20150609,06/15/2015,COR,HB,FMS,499,384.36F2B29039,H15,1115,2,108.9,"MILE 108.9 RIVER L
OFF GRASS BELOW HBC CAMP",fixed river mile,M,R,T,RA
77601,,SHI20130907,09/07/2013,COR,HB,FMS,501,384.36F2B29039,6,1250,COL 1,108.7,,,U,N,B,RA
269123,x,SHI20140909,09/15/2014,COR,HB,FMS,500,384.36F2B29039,H43,1150,,109.03,"RM 109.03
RR",fixed river mile,U,N,C,RA
267605,x,SHI20150609,06/14/2015,COR,HB,FMS,326,384.36F2B2903B,H15,305,1,108.6,"MILE108.6 RIVER LEFT
JUST ABOVE (US) SANDBAR ALONG CLIFF OFF CHOCK STONE",fixed river mile,U,N,N,RA
77936,,SHI20130907,09/08/2013,COR,HB,FMS,453,384.36F2B2903D,40,955,COL 2,109.1,,,F,N,C,RA
267346,x,SHI20150609,06/14/2015,COR,HB,FMS,394,384.36F2B2903E,H16,470,1,108.7,"MILE108.7 RIVER LEFT
BELOW LOWEST RIGHT SIDE RIGHT SIDE SET TIED TO BACCHARIS IN CLIFF",fixed river mile,M,N,T,RA
79670,,SHI20130907,09/09/2013,COR,HB,FMS,420,384.36F2B2903F,59,745,3,109.2,,,M,N,T,RA
268994,x,SHI20140909,09/13/2014,COR,HB,FMS,414,384.36F2B2903F,H18,670,,108.68,"CHOCK STONE
RM 108.68
RR",fixed river mile,U,N,N,RA
267598,x,SHI20150609,06/14/2015,COR,HB,FMS,413,384.36F2B29042,H14,555,1,108.6,"MILE108.6 RIVER LEFTTIED TO SKINNY BACCHARIS IN WALL
*DOWNSTREAM OF H12*",fixed river mile,U,N,N,RA
267304,x,SHI20150609,06/14/2015,COR,HB,FMS,345,384.36F2B29044,H3,300,1,108.4,"MILE108.4 RIVER RIGHT
MIDDLE TAMRAM IN CAMP",fixed river mile,U,N,N,RA
77962,,SHI20130907,09/09/2013,COR,HB,FMS,435,384.36F2B29045,57,770,3,109,RIVER LEFT ACROSS FROM  BASS CAMP,,U,N,N,RA
267298,x,SHI20150609,06/14/2015,COR,HB,FMS,387,384.36F2B29046,H3,445,1,108.4,"MILE108.4 RIVER RIGHT
MIDDLE TAMRAM IN CAMP",fixed river mile,M,N,T,RA
267297,x,SHI20150609,06/14/2015,COR,HB,FMS,415,384.36F2B29047,H3,550,1,108.4,"MILE108.4 RIVER RIGHT
MIDDLE TAMRAM IN CAMP",fixed river mile,M,N,T,RA
77914,,SHI20130907,09/08/2013,COR,HB,FMS,395,384.36F2B29048,22,615,COL 2,109,,,U,N,N,RA
267600,x,SHI20150609,06/14/2015,COR,HB,FMS,427,384.36F2B29049,H14,615,1,108.6,"MILE108.6 RIVER LEFTTIED TO SKINNY BACCHARIS IN WALL
*DOWNSTREAM OF H12*",fixed river mile,M,N,N,RA
267302,x,SHI20150609,06/14/2015,COR,HB,FMS,375,384.36F2B2904A,H3,395,1,108.4,"MILE108.4 RIVER RIGHT
MIDDLE TAMRAM IN CAMP",fixed river mile,M,N,T,RA
268966,x,SHI20140909,09/13/2014,COR,HB,FMS,364,384.36F2B294AD,H12,380,,108.63,"ROCK
RM 108.63
RL",fixed river mile,U,N,N,RA
250068,x,SHI20190620,06/20/2019,COR,HB,FMS,394,384.36F2B294CB,H6,539,1,109,"RM 109, RR",fixed river mile,U,N,C,RA
250039,,SHI20190620,06/21/2019,COR,HB,FMS,375,384.36F2B294E7,H19,397,2,,RL,,U,N,T,RA
73227,,SHI20130613,06/16/2013,COR,HB,FMS,410,384.36F2B29848,44,675,3,109.1,BELOW BASS CAMP CACTUS BUTT,,U,N,N,RA
262148,,SHI20140610,06/17/2014,COR,HB,FMS,347,384.36F2B29C60,H16,,,,,,U,N,C,RA
267235,x,SHI20150830,09/05/2015,SHI,HB,FMS,415,384.36F2B29D35,H53,505,SHI,,,Need to check datasheets - not sure if below falls in Shinumo or mainstem.,U,N,N,RA
73250,,SHI20130613,06/16/2013,COR,HB,FMS,321,384.36F2B29D45,53,285,3,109.2,ON RIVER RIGHT,,U,N,N,RA
73251,,SHI20130613,06/16/2013,COR,HB,FMS,414,384.36F2B29D45,52,685,3,109.2,ON RIVER RIGHT,,U,N,N,RA
73226,,SHI20130613,06/16/2013,COR,HB,FMS,484,384.36F2B29D6F,44,1095,3,109.1,BELOW BASS CAMP CACTUS BUTT,,U,N,N,RA
267140,x,SHI20150830,09/03/2015,SHI,HB,FMS,447,384.36F2B29O5A,H05,760,SHI,,,Need to check datasheets - not sure if below falls in Shinumo or mainstem.,U,N,N,RA
269119,x,SHI20140909,09/15/2014,COR,HB,FMS,439,384.36F2B2A062,H41,740,,109.01,"RM 109.01
RR",fixed river mile,U,N,N,RA
260326,x,SHI20140610,06/14/2014,COR,HB,FMS,424,384.36F2B2A06F,H2,,,109.2,PULL IN BEACH FOR SHI FALLS,,U,N,C,RA
73182,,SHI20130613,06/13/2013,COR,HB,FMS,385,384.36F2B2A08B,10,460,,108.8,JUST DOWN FROM DRIFTWOOD TRAIL FROM TAMMY (? SEB),,U,N,C,RA
73291,,SHI20130613,06/16/2013,COR,HB,FMS,366,384.36F2B2A093,58,345,3,109.2,ON RIVER L BELOW BASS CAMP,,U,N,N,RA
77956,,SHI20130907,09/09/2013,COR,HB,FMS,395,384.36F2B2A09A,55,595,3,109.2,AT AMY'S PERCH BEHIND ROCK,,M,N,T,RA
267670,x,SHI20150609,06/15/2015,COR,HB,FMS,367,384.36F2B2A0A9,H20,445,2,109.1,"MILE109.1 RIVER LEFT
BY FLUTED SCHIST",fixed river mile,M,R,T,RA
267286,x,SHI20150830,09/03/2015,SHI,HB,FMS,335,384.36F2B2A0B4,H07,260,SHI,,,Need to check datasheets - not sure if below falls in Shinumo or mainstem.,U,N,N,RA
250069,x,SHI20190620,06/20/2019,COR,HB,FMS,474,384.3B2397E5DF,H6,826,1,109,"RM 109, RR",fixed river mile,U,N,C,RA
267563,x,SHI20150609,06/15/2015,COR,HB,FMS,457,384.3B2398A7A3,H4,750,2,108.7,"MILE108.7 RIVER RIGHT
UPSTRAM NET IN COVE BELOW H3 SAND SPIT",fixed river mile,F,N,N,RA
267722,x,SHI20150609,06/15/2015,COR,HB,FMS,328,384.3B2399AAC4,H13,285,2,109.8,"MILE 109.8 RIVER LEFT
OFF BACCHARIS",fixed river mile,U,N,N,RA
267054,x,SHI20150830,09/04/2015,SHI,HB,FMS,373,384.3B2399B2C1,H21,370,SHI,,,Need to check datasheets - not sure if below falls in Shinumo or mainstem.,U,N,N,RA
249993,,SHI20190620,06/21/2019,COR,HB,FMS,461,384.3B2399D2EC,H11,652,2,,RL,,U,N,B,RA
267442,x,SHI20150609,06/16/2015,COR,HB,FMS,323,384.3B2399F24D,H10,290,3,109.15,OFF BACCHARIS IN DOWNSTREAM END OF COVE,fixed river mile,U,N,N,RA
269091,x,SHI20140909,09/14/2014,COR,HB,FMS,392,384.3B23ACA1CD,H35,535,,108.86,RM 108.86,fixed river mile,M,R,T,RA
255983,,SHI20180602,06/22/2018,COR,HB,FMS,451,38436F2B28A0F,H22,,1089,108.9,LEFT,,U,N,C,RA
255986,,SHI20180602,06/22/2018,COR,HB,FMS,482,3843B2397E5DF,H22,,1089,108.9,LEFT,,U,N,C,RA
256132,x,SHI20180602,06/22/2018,COR,HB,FMS,400,3843GF2B24AE5,H9,574,1092,109.15,ABOVE SHI PULL IN,fixed river mile,U,N,C,RA
10819,,SHI20110615,06/24/2011,HAV,HB,FMS,330,3D6.00088CACC8,H-1,,-1,,,,U,N,,
10825,,SHI20110615,06/24/2011,HAV,HB,FMS,191,3D6.00088CAE88,H-1,,-1,,,,U,N,,
10811,,SHI20110615,06/24/2011,HAV,HB,FMS,369,3D6.00088CBF2F,H-1,,-1,,,,U,N,,
10820,,SHI20110615,06/24/2011,HAV,HB,FMS,288,3D6.00088CCF65,H-1,,-1,,,,U,N,,
10812,,SHI20110615,06/24/2011,HAV,HB,FMS,328,3D6.00088CE3DC,H-1,,-1,,,,U,N,,
10809,,SHI20110615,06/24/2011,HAV,HB,FMS,364,3D6.00088CEACC,H-1,,-1,,,,F,N,,
29745,,SHI20100617,06/21/2010,SHI,SS,FMS,210,3D6.00088CEDBB,S6,,-1,,,,,,,RA
29773,,SHI20100617,06/21/2010,SHI,SS,FMS,210,3D6.00088CEDBB,S6,,-1,,,,,,,RA
10810,,SHI20110615,06/24/2011,HAV,HB,FMS,310,3D6.00088CEF49,H-1,,-1,,,,U,N,,
10816,,SHI20110615,06/24/2011,HAV,HB,FMS,236,3D6.00088CEFFC,H-1,,-1,,,,U,N,,
10813,,SHI20110615,06/24/2011,HAV,HB,FMS,340,3D6.00088D0C75,H-1,,-1,,,,U,N,,
10818,,SHI20110615,06/24/2011,HAV,HB,FMS,359,3D6.00088D0CB7,H-1,,-1,,,,U,N,,
10817,,SHI20110615,06/24/2011,HAV,HB,FMS,367,3D6.00088D0CF0,H-1,,-1,,,,U,N,,
10824,,SHI20110615,06/24/2011,HAV,HB,FMS,205,3D6.00088D0D25,H-1,,-1,,,,U,N,,
10814,,SHI20110615,06/24/2011,HAV,HB,FMS,311,3D6.00088D1022,H-1,,-1,,,,U,N,,
10823,,SHI20110615,06/24/2011,HAV,HB,FMS,230,3D6.00088D1060,H-1,,-1,,,,U,N,,
10822,,SHI20110615,06/24/2011,HAV,HB,FMS,297,3D6.00088D2EBB,H-1,,-1,,,,U,N,,
10821,,SHI20110615,06/24/2011,HAV,HB,FMS,242,3D6.00088D356F,H-1,,-1,,,,U,N,,
10815,,SHI20110615,06/24/2011,HAV,HB,FMS,311,3D6.000891F699,H-1,,-1,,,,U,N,,
267443,x,SHI20150609,06/16/2015,COR,HB,FMS,465,3D9.1BF198CECB,H12,845,3,109.2,DOWNSTREAM OF H11,fixed river mile,U,N,N,RA
156310,,BAC20131024,01/31/2014,BAC,BP1,FMS,502,3D9.1BF1A0978B,8,,-1,,MOUTH TO WEIR,,U,N,B,RA
267451,x,SHI20150609,06/16/2015,COR,HB,FMS,583,3D9.1BF1E997C5,H11,1725,3,109.2,JUST UPSTRAM OF SHINIMU BOAT PARKING,fixed river mile,F,N,N,RA
156309,,BAC20131024,01/31/2014,BAC,BP1,FMS,532,3D9.1BF210D33E,8,,-1,,MOUTH TO WEIR,,F,R,C,RA
256115,x,SHI20180602,06/22/2018,COR,HB,FMS,390,3D9.1BF24E1D77,H9,,1092,109.15,ABOVE SHI PULL IN,fixed river mile,U,N,C,RA
112771,,BAC20151015,12/14/2015,BAC,BPBN1,FMS,558,3D9.1BF252C804,weir,,-1,,,,U,N,C,RA
68242,,SHI20130613,06/17/2013,COR,HB,FMS,454,3D9.1BF253AF12,62,730,2,109.1,RIVER LEFT BELOW AMY'S PERCH,,U,N,N,RA
46944,x,SHI20120907,09/09/2012,COR,HB,FMS,457,3D9.1BF253AF12,11,840,SH1,,,No FMS captured in Shinumo according to trip report,U,N,N,RA
268983,x,SHI20140909,09/13/2014,COR,HB,FMS,525,3D9.1BF25602F5,H16,1200,,108.67,"BELOW TOILET IN SANDY ROCKY COVE
RM 108.67
RR",fixed river mile,F,N,N,RA
267143,x,SHI20150830,09/03/2015,SHI,HB,FMS,416,3D9.1BF2561713,H06,605,SHI,,,Need to check datasheets - not sure if below falls in Shinumo or mainstem.,U,N,N,RA
267159,x,SHI20150830,09/04/2015,SHI,HB,FMS,468,3D9.1BF2562114,H33,760,SHI,,,Need to check datasheets - not sure if below falls in Shinumo or mainstem.,U,N,N,RA
267031,x,SHI20150830,09/03/2015,SHI,HB,FMS,408,3D9.1BF2562516,H17,585,SHI,,,Need to check datasheets - not sure if below falls in Shinumo or mainstem.,U,N,N,RA
250002,,SHI20190620,06/21/2019,COR,HB,FMS,440,3D9.1BF256362F,H11,648,2,,RL,,U,N,T,RA
259342,,SHI20140610,06/17/2014,COR,HB,FMS,403,3D9.1C2C872066,H4,,,,,,U,N,C,RA
260910,,SHI20140610,06/16/2014,COR,HB,FMS,402,3D9.1C2C872066,H13,,,,,,F,N,C,RA
267182,x,SHI20150830,09/04/2015,SHI,HB,FMS,391,3D9.1C2C9CB6B2,H38,465,SHI,,,Need to check datasheets - not sure if below falls in Shinumo or mainstem.,U,N,N,RA
269240,x,SHI20140909,09/15/2014,COR,HB,FMS,390,3D9.1C2C9CCECC,H57,530,,109.19,"JUST BELOW BASS CAMP
RM 109.19
RR",fixed river mile,U,N,N,RA
259334,,SHI20140610,06/17/2014,COR,HB,FMS,450,3D9.1C2C9CD459,H2,,,,,,U,N,C,RA
267083,x,SHI20150830,09/04/2015,SHI,HB,FMS,410,3D9.1C2C9CEEE7,H26,470,SHI,,,Need to check datasheets - not sure if below falls in Shinumo or mainstem.,U,N,N,RA
267326,x,SHI20150609,06/14/2015,COR,HB,FMS,394,3D9.1C2C9E6EC1,H7,555,1,108.6,108.6 RIVER RIGHT TAMRAM CLUMP BELOW CLAY'S OLD BEDROOM,fixed river mile,M,N,T,RA
267262,x,SHI20150830,09/05/2015,SHI,HB,FMS,400,3D9.1C2CA9BE8F,H54,590,SHI,,,Need to check datasheets - not sure if below falls in Shinumo or mainstem.,U,N,N,RA
47028,x,SHI20120907,09/11/2012,SHI,HB,FMS,397,3D9.1C2D1432C8,49,635,SHI,,No FMS captured in Shinumo according to trip report,,U,N,C,RA
267390,x,SHI20150609,06/15/2015,COR,HB,FMS,437,3D9.1C2D17772A,H1,,2,108.7,"MILE108.7 RIVER RIGHT
SMALL TAMRAMIN COVE DOWNSTREAM OF TRICKLE COVE",fixed river mile,M,N,T,RA
267681,x,SHI20150609,06/16/2015,COR,HB,FMS,432,3D9.1C2D17772A,H1,665,3,108.8,"RIVER MILE
HBC CAMP 
UPPER TAMRAM OF CAMP AGAINST SCHIST",fixed river mile,U,N,B,RA
261213,,SHI20140610,06/14/2014,COR,HB,FMS,328,3D9.1C2D26613E,H12,,,,,,F,N,N,RA
267172,x,SHI20150830,09/04/2015,SHI,HB,FMS,415,3D9.1C2D267342,H36,455,SHI,,,Need to check datasheets - not sure if below falls in Shinumo or mainstem.,U,N,N,RA
267348,x,SHI20150609,06/14/2015,COR,HB,FMS,367,3D9.1C2D3C4CD5,H17,575,1,108.7,"MILE 108.7 RIVER LEFT
UPSTREAM END OF COVE",fixed river mile,F,N,N,RA
256163,x,SHI20180602,06/23/2018,COR,HB,FMS,430,3D9.1C2D3C4CD5,H6,,1088,108.8,,,U,N,C,RA
267532,x,SHI20150609,06/15/2015,COR,HB,FMS,424,3D9.1C2D3D8AFC,H2,585,2,108.7,MILE108.7 RIVER RIGHT,fixed river mile,U,N,N,RA
73242,,SHI20130613,06/16/2013,COR,HB,FMS,347,3D9.1C2D3F5D91,53,360,3,109.2,ON RIVER RIGHT,,U,N,N,RA
261805,,SHI20140610,06/16/2014,COR,HB,FMS,460,3D9.1C2D3F8AFD,H5,,,,,,F,N,C,RA
261256,,SHI20140610,06/14/2014,COR,HB,FMS,358,3D9.1C2D41ACC6,H19,,,,,,M,N,N,RA
259347,,SHI20140610,06/17/2014,COR,HB,FMS,442,3D9.1C2D41AF1A,H4,,,,,,M,N,B,RA
268845,x,SHI20140909,09/13/2014,COR,HB,FMS,387,3D9.1C2D41B037,H4,555,,108.55,"HANDWASH STATION
RM 108.55
RR",fixed river mile,M,R,T,RA
269003,x,SHI20140909,09/13/2014,COR,HB,FMS,433,3D9.1C2D8B1978,H20,710,,108.71,"ON TAMMY
RM 108.71
RR",fixed river mile,U,N,N,RA
249989,,SHI20190620,06/21/2019,COR,HB,FMS,491,3D9.1C2D8C1255,H9,881,2,,RR,,U,N,C,RA
260961,,SHI20140610,06/14/2014,COR,HB,FMS,430,3D9.1C2D8D1B47,H11,,,,,,F,N,C,RA
261863,,SHI20140610,06/16/2014,COR,HB,FMS,430,3D9.1C2D8D1B47,H12,,,,,,F,N,C,RA
79672,,SHI20130907,09/09/2013,COR,HB,FMS,398,3D9.1C2D8DC16D,59,655,3,109.2,,,M,N,T,RA
